id,yr,monthnum,monthname,monthend,cregion,cdistrict,pregion,pdistrict,creason,tpeople,yrmonthnam,yrmonthnum,pvalue,adjustments,changedvalue,comments
50,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Baidoa,Drought related,8,Jan '16,2016-01,,,,
51,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Baidoa,Drought related,7,Jan '16,2016-01,,,,
52,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Baidoa,Drought related,7,Jan '16,2016-01,,,,
53,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Diinsoor,Drought related,7,Jan '16,2016-01,,,,
54,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Diinsoor,Drought related,10,Jan '16,2016-01,,,,
55,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Diinsoor,Drought related,10,Jan '16,2016-01,,,,
56,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Diinsoor,Other,14,Jan '16,2016-01,,,,
57,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Qansax Dheere,Drought related,4,Jan '16,2016-01,,,,
58,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Qansax Dheere,Drought related,26,Jan '16,2016-01,,,,
59,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Qansax Dheere,Drought related,5,Jan '16,2016-01,,,,
60,2016,1,Jan,31/01/2016,Bay,Baidoa,Bay,Qansax Dheere,Drought related,9,Jan '16,2016-01,,,,
61,2016,1,Jan,31/01/2016,Galgaduud,Dhuusamarreeb,Galgaduud,Cadaado,Conflict/Insecurity,121,Jan '16,2016-01,,,,
62,2016,1,Jan,31/01/2016,Galgaduud,Dhuusamarreeb,Galgaduud,Cadaado,Conflict/Insecurity,9,Jan '16,2016-01,,,,
63,2016,1,Jan,31/01/2016,Galgaduud,Dhuusamarreeb,Galgaduud,Cadaado,Conflict/Insecurity,8,Jan '16,2016-01,,,,
64,2016,1,Jan,31/01/2016,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,140,Jan '16,2016-01,,,,
65,2016,1,Jan,31/01/2016,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,205,Jan '16,2016-01,,,,
66,2016,1,Jan,31/01/2016,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,450,Jan '16,2016-01,,,,
67,2016,1,Jan,31/01/2016,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,168,Jan '16,2016-01,,,,
68,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,690,Jan '16,2016-01,,,,
69,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,750,Jan '16,2016-01,,,,
70,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,660,Jan '16,2016-01,,,,
71,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,13,Jan '16,2016-01,,,,
72,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,11,Jan '16,2016-01,,,,
73,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,18,Jan '16,2016-01,,,,
74,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,150,Jan '16,2016-01,,,,
75,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,4,Jan '16,2016-01,,,,
76,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,10,Jan '16,2016-01,,,,
77,2016,1,Jan,31/01/2016,Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,13,Jan '16,2016-01,,,,
78,2016,1,Jan,31/01/2016,Gedo,Ceel Waaq,Gedo,Belet Xaawo,Conflict/Insecurity,110,Jan '16,2016-01,,,,
79,2016,1,Jan,31/01/2016,Gedo,Ceel Waaq,Gedo,Garbahaarey,Conflict/Insecurity,210,Jan '16,2016-01,,,,
80,2016,1,Jan,31/01/2016,Gedo,Ceel Waaq,Gedo,Garbahaarey,Conflict/Insecurity,192,Jan '16,2016-01,,,,
81,2016,1,Jan,31/01/2016,Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,1210,Jan '16,2016-01,,,,
82,2016,1,Jan,31/01/2016,Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,2980,Jan '16,2016-01,,,,
83,2016,1,Jan,31/01/2016,Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,102,Jan '16,2016-01,,,,
84,2016,1,Jan,31/01/2016,Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,400,Jan '16,2016-01,,,,
85,2016,1,Jan,31/01/2016,Gedo,Luuq,Bakool,Xudur,Drought related,3,Jan '16,2016-01,,,,
86,2016,1,Jan,31/01/2016,Gedo,Luuq,Gedo,Luuq,Drought related,7,Jan '16,2016-01,,,,
87,2016,1,Jan,31/01/2016,Lower Juba,Kismayo,Lower Juba,Jamaame,Drought related,10,Jan '16,2016-01,,,,
88,2016,1,Jan,31/01/2016,Lower Shabelle,Afgooye,Lower Shabelle,Marka,Conflict/Insecurity,10,Jan '16,2016-01,,,,
89,2016,1,Jan,31/01/2016,Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,6,Jan '16,2016-01,,,,
90,2016,1,Jan,31/01/2016,Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,14,Jan '16,2016-01,,,,
91,2016,1,Jan,31/01/2016,Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,13,Jan '16,2016-01,,,,
92,2016,1,Jan,31/01/2016,Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,3,Jan '16,2016-01,,,,
93,2016,1,Jan,31/01/2016,Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,48,Jan '16,2016-01,,,,
94,2016,1,Jan,31/01/2016,Lower Shabelle,Qoryooley,Lower Shabelle,Kurtunwaarey,Conflict/Insecurity,5,Jan '16,2016-01,,,,
95,2016,1,Jan,31/01/2016,Middle Juba,Bu'aale,Bay,Diinsoor,Drought related,126,Jan '16,2016-01,,,,
96,2016,1,Jan,31/01/2016,Middle Juba,Jilib,Gedo,Baardheere,Drought related,7,Jan '16,2016-01,,,,
97,2016,1,Jan,31/01/2016,Middle Juba,Jilib,Gedo,Baardheere,Drought related,11,Jan '16,2016-01,,,,
98,2016,1,Jan,31/01/2016,Middle Juba,Jilib,Gedo,Baardheere,Drought related,11,Jan '16,2016-01,,,,
99,2016,1,Jan,31/01/2016,Middle Juba,Jilib,Gedo,Baardheere,Drought related,12,Jan '16,2016-01,,,,
100,2016,1,Jan,31/01/2016,Middle Juba,Jilib,Lower Shabelle,Baraawe,Drought related,124,Jan '16,2016-01,,,,
101,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Bay,Diinsoor,Other,12,Jan '16,2016-01,,,,
102,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Baardheere,Drought related,11,Jan '16,2016-01,,,,
103,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Baardheere,Drought related,12,Jan '16,2016-01,,,,
104,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Baardheere,Drought related,107,Jan '16,2016-01,,,,
105,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Baardheere,Drought related,11,Jan '16,2016-01,,,,
106,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Baardheere,Drought related,10,Jan '16,2016-01,,,,
107,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Baardheere,Drought related,13,Jan '16,2016-01,,,,
108,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Baardheere,Drought related,11,Jan '16,2016-01,,,,
109,2016,1,Jan,31/01/2016,Middle Juba,Saakow,Gedo,Garbahaarey,Conflict/Insecurity,110,Jan '16,2016-01,,,,
110,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,17,Jan '16,2016-01,,,,
111,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,6,Jan '16,2016-01,,,,
112,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,10,Jan '16,2016-01,,,,
113,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,10,Jan '16,2016-01,,,,
114,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,2,Jan '16,2016-01,,,,
115,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,5,Jan '16,2016-01,,,,
116,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,7,Jan '16,2016-01,,,,
117,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Bari,Bossaso,Conflict/Insecurity,7,Jan '16,2016-01,,,,
118,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Bari,Bossaso,Other,6,Jan '16,2016-01,,,,
119,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Bay,Baidoa,Drought related,8,Jan '16,2016-01,,,,
